,Name_FG,Tm,mean_batspeed,mean_swinglength,attack_angle,PA,AB,AVG,OBP,SLG,OPS,wOBA,wRC+,Name_SC,batter_cluster
0,Jose Abreu,HOU,71.72096774193548,7.130645161290323,5.25324423134877,120,113,0.123893805,0.166666666,0.194690265,0.361356931,0.1635177373886108,0.3575653156795391,"Abreu, José",2
1,Ronald Acuna Jr.,ATL,76.21379310344827,7.625,13.3968966715582,222,192,0.25,0.351351351,0.364583333,0.715934684,0.3218509095746117,105.1013793068646,"Acuña Jr., Ronald",4
2,Luisangel Acuna,NYM,72.22941176470589,7.232352941176471,4.588205859092587,40,39,0.307692307,0.325,0.641025641,0.966025641,0.4056757137179375,166.22777743063537,"Acuña, Luisangel",3
3,Willy Adames,MIL,73.59129411764705,8.119764705882353,21.708917712290955,688,610,0.250819672,0.331395348,0.462295081,0.793690429,0.3419318153910393,119.43800398037838,"Adames, Willy",4
4,Jordyn Adams,LAA,67.55217391304348,7.539130434782609,17.844049422445536,38,35,0.228571428,0.289473684,0.314285714,0.603759398,0.270762584711376,72.47865973550982,"Adams, Jordyn",3
5,Riley Adams,WSN,75.8886075949367,7.969620253164558,7.032509017729022,130,116,0.224137931,0.292307692,0.336206896,0.628514588,0.2749977846478307,75.12269516600813,"Adams, Riley",4
6,Jo Adell,LAA,76.68154981549816,7.507011070110702,15.135841088451231,451,405,0.207407407,0.28,0.402469135,0.682469135,0.2959931448998058,90.22635102211024,"Adell, Jo",4
7,Nick Ahmed,SDP,66.75179856115108,7.106474820143885,16.214599488103723,228,210,0.228571428,0.266666666,0.295238095,0.561904761,0.2484584652052985,58.93527324868085,"Ahmed, Nick",3
8,Ozzie Albies-R,ATL,68.3972972972973,6.843243243243244,10.249033700545056,142,137,0.299270072,0.323943661,0.503649635,0.827593296,0.354659229936734,127.18362779459396,"Albies, Ozzie",3
9,Blaze Alexander,ARI,73.5375,7.274038461538462,8.175811326287368,185,166,0.246987951,0.320652173,0.343373493,0.664025666,0.2976115498205889,88.3447929653324,"Alexander, Blaze",4
10,Nick Allen,OAK,63.8968253968254,6.238095238095238,2.2238293668508944,105,97,0.175257731,0.215686274,0.24742268,0.463108954,0.2067997823743259,33.22807833845942,"Allen, Nick",2
11,Pete Alonso,NYM,75.25488372093022,7.22093023255814,15.59395512359761,695,608,0.240131578,0.329496402,0.458881578,0.78837798,0.3398528206020637,121.92445845780296,"Alonso, Pete",4
12,Jose Altuve,HOU,67.58112359550562,7.664719101123596,19.36828514793037,682,628,0.294585987,0.350439882,0.439490445,0.789930327,0.344237520589548,127.47955141816854,"Altuve, Jose",3
13,Nacho Alvarez Jr.,ATL,66.90526315789474,7.43157894736842,11.922562345391167,32,30,0.1,0.15625,0.1,0.25625,0.1276723798364401,-25.59408139738713,"Alvarez Jr., Nacho",2
14,Armando Alvarez,OAK,66.52692307692308,7.038461538461538,15.873960668561391,39,37,0.243243243,0.282051282,0.27027027,0.552321552,0.2483690579732259,62.468755708564295,"Alvarez, Armando",2
15,Francisco Alvarez,NYM,73.4951754385965,7.190789473684211,9.9299373455269,342,308,0.237012987,0.307017543,0.402597402,0.709614945,0.3098268491482874,101.7149215046937,"Alvarez, Francisco",4
16,Jacob Amaya,CHW,67.18157894736842,7.1605263157894745,10.486364604714648,72,68,0.176470588,0.222222222,0.19117647,0.413398692,0.1904137060046196,17.452568573113233,"Amaya, Jacob",1
17,Miguel Amaya,CHC,73.64658634538152,7.092771084337349,10.668986137511205,363,328,0.231707317,0.287709497,0.356707317,0.644416814,0.2830892371731763,82.75058003228885,"Amaya, Miguel",3
18,Tim Anderson,MIA,69.31342281879195,7.165771812080537,7.99273325230506,241,234,0.213675213,0.236514522,0.226495726,0.463010248,0.2075836381476944,26.76256374903553,"Anderson, Tim",3
19,Miguel Andujar,OAK,70.63740157480315,7.5751968503937,4.866243724145555,319,302,0.284768211,0.319749216,0.377483443,0.697232659,0.3057821045474946,102.85426513893356,"Andujar, Miguel",2
20,Orlando Arcia,ATL,70.8765903307888,7.887531806615777,11.702405926522472,602,551,0.217785843,0.271214642,0.353901996,0.625116638,0.2726847584048907,72.00918941931086,"Arcia, Orlando",4
21,Nolan Arenado,STL,70.31388286334057,8.17592190889371,17.740231567602954,635,578,0.271626297,0.324921135,0.394463667,0.719384802,0.3136587862538386,102.24824652949398,"Arenado, Nolan",4
22,Gabriel Arias,CLE,74.6875,7.620454545454546,11.124652506877748,161,153,0.222222222,0.254658385,0.352941176,0.607599561,0.2633519120838331,70.28110656271517,"Arias, Gabriel",3
23,Randy Arozarena,SEA,72.43030303030304,7.316253443526171,12.012888527959817,648,549,0.218579234,0.331790123,0.387978142,0.719768265,0.3203924835464101,114.07055527986186,"Arozarena, Randy",1
24,Jose Azocar,SDP,67.31666666666668,6.833333333333333,8.762924913180356,79,73,0.219178082,0.269230769,0.246575342,0.515806111,0.2345961003731458,51.24263113310416,"Azocar, José",3
25,Harrison Bader,NYM,70.72972972972973,6.865202702702702,12.835068147610745,437,402,0.236318407,0.28375286,0.373134328,0.656887188,0.2853290042199126,85.22619263496502,"Bader, Harrison",2
26,Patrick Bailey-R,SFG,71.47592592592592,7.377777777777777,9.669287429374572,97,89,0.17977528,0.237113402,0.213483146,0.450596548,0.2066958012040128,30.75402016903831,"Bailey, Patrick",4
27,Luken Baker,STL,73.7709677419355,7.767741935483872,10.176765409639376,49,40,0.175,0.285714285,0.4,0.685714285,0.2941351739727721,89.10751719589678,"Baker, Luken",4
28,Brooks Baldwin-R,CHW,66.42,6.56,25.7787211745651,31,26,0.192307692,0.3,0.23076923,0.53076923,0.2512603958447774,60.021142927063295,"Baldwin, Brooks",3
29,Austin Barnes,LAD,67.75591397849463,6.369892473118279,3.8987788431781496,156,140,0.264285714,0.331168831,0.307142857,0.638311688,0.2893326820491196,86.10568620202024,"Barnes, Austin",1
30,Joey Bart,PIT,73.86228571428572,7.316,15.925774708700915,282,253,0.264822134,0.336879432,0.462450592,0.799330024,0.3469483698090763,120.5998337233666,"Bart, Joey",4
31,Jordan Beck,COL,71.116,7.677,18.40928052932633,184,170,0.188235294,0.244565217,0.276470588,0.521035805,0.2309042974247958,31.97593800428774,"Beck, Jordan",3
32,Josh Bell-R,ARI,68.82272727272728,7.470454545454546,13.807378563391806,199,177,0.242937853,0.30964467,0.395480225,0.705124895,0.3060755306968883,93.44222789065464,"Bell, Josh",4
33,Jon Berti,NYY,70.87719298245614,7.398245614035088,10.708351371771824,74,66,0.272727272,0.342465753,0.318181818,0.660647571,0.2999132806307649,94.74949441968909,"Berti, Jon",1
34,Christian Bethancourt,CHC,70.39574468085107,7.187234042553191,10.429038269588396,147,139,0.208633093,0.24137931,0.366906474,0.608285784,0.2633386632491802,65.8372085284152,"Bethancourt, Christian",3
35,Mookie Betts,LAD,69.40657894736842,6.896315789473684,15.779676476870083,516,450,0.288888888,0.372093023,0.491111111,0.863204134,0.3709689515573969,141.05249143299704,"Betts, Mookie",1
36,Bo Bichette,TOR,70.6526066350711,7.167772511848342,5.151369894014655,336,311,0.225080385,0.276785714,0.321543408,0.598329122,0.2636339559483884,70.58419470908426,"Bichette, Bo",3
