Name_FG,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,key_FG,key_MLB,Name_SC,year,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,f_strike_percent
David Peralta,SDP,89,260,236,63,44,11,0,8,35,28,22,0,54,2,0,0,3,2,0,0.266949152,0.084615384,0.207692307,0.407407407,0.334615384,0.415254237,0.749869621,0.148305085,0.316091954,34.394955836632825,3.980657212832546,0.3292012595213376,114.91838805918708,1.535714285,0.219780219,0.472527472,0.307692307,0.071428571,0.142857142,0.03488372,0.0,0.37912088,0.37912088,0.24175824,0.15934066,0.52197802,0.31868132,2136.0,444482.0,"Peralta, David",2024.0,70.6,16.9,32.6,50.6,49.4,87.0,172.0,52.0,527.0,73.1,6.6,149.0,594.0,211.0,1014.0,83.1,58.0,344.0,48.0,487.0,46.7,474.0,28.1,50.9,69.6
Tommy Pham,3 Tms,116,478,440,109,77,20,3,9,49,39,35,0,106,2,1,0,5,7,3,0.247727272,0.073221757,0.221757322,0.330188679,0.30543933,0.368181818,0.673621148,0.120454546,0.306748466,50.6768768579205,-5.238641381220013,0.2965624073060486,90.89166733894564,1.309734513,0.220895522,0.441791044,0.337313432,0.115044247,0.079646017,0.054054054,0.0,0.37014925,0.34328358,0.28656716,0.14626866,0.53432836,0.31940299,2967.0,502054.0,"Pham, Tommy",2024.0,59.8,15.9,18.7,46.2,53.8,78.0,169.0,47.0,903.0,69.5,7.9,204.0,1075.0,528.0,1923.0,84.1,97.0,610.0,53.0,1020.0,42.2,811.0,22.5,40.5,61.9
Anthony Rizzo,NYY,92,375,337,77,57,12,0,8,38,35,27,0,65,9,2,0,7,0,0,0.228486646,0.072,0.173333333,0.415384615,0.301333333,0.335311572,0.636644905,0.106824926,0.259398496,36.20359200949115,-7.663184851759248,0.2847893614768982,84.11102083124227,1.263157894,0.215328467,0.437956204,0.346715328,0.189473684,0.084210526,0.041666666,0.0,0.44890511,0.27737226,0.27372263,0.20072993,0.55839416,0.24087591,3473.0,519203.0,"Rizzo, Anthony",2024.0,65.9,10.6,33.6,35.1,64.9,88.0,251.0,52.1,746.0,84.3,6.2,233.0,754.0,367.0,1432.0,89.4,48.0,452.0,47.9,686.0,41.8,598.0,19.3,49.1,60.3
Jason Heyward,2 Tms,84,258,228,48,24,12,2,10,33,37,22,2,53,4,3,0,3,5,0,0.210526315,0.085271317,0.205426356,0.415094339,0.287937743,0.412280701,0.700218444,0.201754386,0.226190476,28.13754255099702,-2.0427999295432584,0.3002106675914689,94.32505667309476,1.559322033,0.151685393,0.516853932,0.331460674,0.118644067,0.169491525,0.010869565,0.0,0.56179775,0.29775281,0.14044944,0.1741573,0.56741573,0.25842697,4940.0,518792.0,"Heyward, Jason",2024.0,68.1,13.9,32.2,44.1,55.9,75.0,170.0,51.6,528.0,64.3,6.8,186.0,570.0,214.0,1024.0,86.1,47.0,338.0,48.4,496.0,43.0,440.0,24.0,49.6,63.7
Giancarlo Stanton,NYY,114,459,417,97,50,20,0,27,49,72,38,2,143,2,2,0,17,0,0,0.232613908,0.082788671,0.31154684,0.265734265,0.298474945,0.474820143,0.773295088,0.242206235,0.281124497,60.97745008401751,7.284515205847018,0.3298972602485306,115.84083800562564,0.88429752,0.173913043,0.387681159,0.438405797,0.173553719,0.223140495,0.028037383,0.0,0.43478261,0.35507246,0.21014493,0.18115942,0.37681159,0.44202899,4949.0,519317.0,"Stanton, Giancarlo",2024.0,63.6,25.1,31.0,52.0,48.0,153.0,294.0,51.8,947.0,72.2,5.9,222.0,992.0,438.0,1831.0,74.9,141.0,561.0,48.2,882.0,43.0,786.0,34.4,46.8,58.6
Justin Turner,2 Tms,139,539,460,119,84,24,0,11,59,55,59,2,95,13,7,0,16,0,2,0.258695652,0.109461966,0.176252319,0.621052631,0.354359925,0.382608695,0.73696862,0.123913043,0.299168975,70.16775145710807,7.116570848537485,0.3265532150836852,116.63779364930164,0.775641025,0.255376344,0.325268817,0.419354838,0.089743589,0.07051282,0.049586776,0.0,0.40860215,0.34408602,0.24731183,0.14516129,0.56182796,0.29301075,5235.0,457759.0,"Turner, Justin",2024.0,65.7,11.5,25.1,31.3,68.7,91.0,291.0,49.9,1158.0,77.5,7.3,164.0,1560.0,470.0,2320.0,88.5,88.0,763.0,50.1,1162.0,43.3,1005.0,17.0,45.4,57.7
Brandon Crawford,STL,27,80,71,12,6,5,0,1,5,4,8,0,26,1,0,0,0,0,0,0.169014084,0.1,0.325,0.307692307,0.2625,0.28169014,0.54419014,0.112676056,0.25,5.358909922405834,-3.9993358079942514,0.2480667985975742,58.100342758658805,1.1875,0.222222222,0.422222222,0.355555555,0.0625,0.0625,0.0,0.0,0.55555556,0.31111111,0.13333333,0.13333333,0.57777778,0.28888889,5343.0,543063.0,"Crawford, Brandon",2024.0,71.8,23.1,29.0,66.7,33.3,30.0,45.0,48.7,155.0,86.7,9.4,64.0,172.0,54.0,321.0,76.9,27.0,117.0,51.3,163.0,41.5,132.0,35.8,51.4,68.8
Freddie Freeman,LAD,147,638,542,153,94,35,2,22,81,89,78,9,100,10,8,0,13,9,2,0.282287822,0.122257053,0.156739811,0.78,0.377742946,0.47601476,0.853757706,0.193726938,0.306074766,102.96599371057994,28.33398401063927,0.365357109492079,137.2753370528749,1.0,0.226666666,0.386666666,0.386666666,0.028735632,0.126436781,0.022988505,0.0,0.35333333,0.33555556,0.31111111,0.12444444,0.55111111,0.32444444,5361.0,518692.0,"Freeman, Freddie",2024.0,73.7,16.6,26.6,29.0,71.0,101.0,348.0,51.8,1307.0,83.5,6.7,321.0,1472.0,562.0,2522.0,83.4,149.0,896.0,48.2,1215.0,42.9,1082.0,20.2,49.4,60.3
Jose Altuve,HOU,153,682,628,185,134,31,0,20,94,65,47,2,119,7,0,0,15,22,7,0.294585987,0.068914956,0.174486803,0.394957983,0.350439882,0.439490445,0.789930327,0.144904458,0.337423312,98.47424143025732,18.695196578596605,0.344237520589548,127.47955141816854,1.253012048,0.245967741,0.419354838,0.334677419,0.078313253,0.120481927,0.081730769,0.692307692,0.55599214,0.30255403,0.14145383,0.1611002,0.5540275,0.2848723,5417.0,514888.0,"Altuve, Jose",2024.0,68.6,12.7,37.3,36.3,62.7,182.0,501.0,54.7,1343.0,76.0,7.5,352.0,1282.0,651.0,2454.0,86.5,97.0,762.0,45.3,1111.0,41.1,1008.0,22.1,51.5,64.6
Kyle Higashioka,SDP,79,263,246,54,26,10,1,17,29,45,15,0,74,0,1,1,3,2,0,0.219512195,0.05703422,0.281368821,0.202702702,0.263358778,0.475609756,0.738968534,0.256097561,0.237179487,31.550773392586176,0.7855405538958948,0.3138900660831509,104.61290535193828,0.533333333,0.192982456,0.280701754,0.526315789,0.1,0.188888888,0.0625,0.0,0.51724138,0.3045977,0.17816092,0.16091954,0.44252874,0.39655172,5517.0,543309.0,"Higashioka, Kyle",2024.0,64.8,16.9,28.1,45.3,53.3,68.0,150.0,50.2,534.0,72.2,7.4,137.0,547.0,288.0,1062.0,82.5,58.0,343.0,49.8,529.0,40.5,431.0,25.6,46.4,60.5
