current_state,DoublePlay,Error,GroundOut,HBP/CatInt,HR,K,LineOut/InfFly,Triple,Walk,LongSingle,MediumSingle,ShortSingle,ShortDouble,LongDouble,LongFly,MediumFly,ShortFly
0000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,1,1,0,2,0,0,1,0,1,1,1,1,1,1,1,0
0010,0,0,0,0,2,0,0,1,0,1,1,0,1,1,0,0,0
0011,0,1,0,0,3,0,0,2,0,2,2,1,2,2,1,1,0
0100,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0
0101,1,1,1,0,3,0,0,2,0,1,1,1,1,2,1,1,0
0110,0,0,0,0,3,0,0,2,0,1,1,0,1,2,0,0,0
0111,0,1,0,1,4,0,0,3,1,2,2,1,2,3,1,1,0
1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1001,0,1,1,0,2,0,0,1,0,1,1,1,1,1,1,1,0
1010,0,0,0,0,2,0,0,1,0,1,1,0,1,1,0,0,0
1011,0,1,0,0,3,0,0,2,0,2,2,1,2,2,1,1,0
1100,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0
1101,0,1,1,0,3,0,0,2,0,1,1,1,1,2,1,1,0
1110,0,0,0,0,3,0,0,2,0,1,1,0,1,2,0,0,0
1111,0,1,1,1,4,0,0,3,1,2,2,1,2,3,1,1,0
2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,1,0,0,2,0,0,1,0,1,1,1,1,1,0,0,0
2010,0,0,0,0,2,0,0,1,0,1,1,0,1,1,0,0,0
2011,0,1,0,0,3,0,0,2,0,2,2,1,2,2,0,0,0
2100,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0
2101,0,1,0,0,3,0,0,2,0,1,1,1,1,2,0,0,0
2110,0,0,0,0,3,0,0,2,0,1,1,0,1,2,0,0,0
2111,0,1,0,1,4,0,0,3,1,2,2,1,2,3,0,0,0
