current_state,DoublePlay,Error,GroundOut,HBP/CatInt,HR,K,LineOut/InfFly,Triple,Walk,LongSingle,MediumSingle,ShortSingle,ShortDouble,LongDouble,LongFly,MediumFly,ShortFly
0000,1000,0100,1000,0100,0000,1000,1000,0001,0100,0100,0100,0100,0010,0010,1000,1000,1000
0001,1001,0100,1000,0101,0000,1001,1001,0001,0101,0100,0100,0101,0010,0010,1000,1000,1001
0010,1010,0101,1001,0110,0000,1010,1010,0001,0110,0100,0100,0110,0010,0010,1001,1010,1010
0011,1011,0101,1011,0111,0000,1011,1011,0001,0111,0101,0100,0111,0010,0010,1001,1010,1011
0100,2000,0110,1100,0110,0000,1100,1100,0001,0110,0101,0110,0100,0101,0010,1100,1100,1100
0101,2000,0110,1100,0111,0000,1101,1101,0001,0111,0101,0110,0101,0011,0010,1100,1100,1101
0110,2001,0111,1101,0111,0000,1110,1110,0001,0111,0101,0110,0110,0011,0010,1101,1110,1110
0111,2011,0111,1111,0111,0000,1111,1111,0001,0111,0101,0110,0111,0011,0010,1101,1110,1111
1000,2000,1100,2000,1100,1000,2000,2000,1001,1100,1100,1100,1100,1010,1010,2000,2000,2000
1001,2001,1100,2000,1101,1000,2001,2001,1001,1101,1100,1100,1101,1010,1010,2000,2000,2001
1010,2010,1101,2001,1110,1000,2010,2010,1001,1110,1100,1100,1110,1010,1010,2001,2010,2010
1011,2011,1101,2011,1111,1000,2011,2011,1001,1111,1101,1100,1111,1010,1010,2001,2010,2011
1100,0000,1110,2100,1110,1000,2100,2100,1001,1110,1101,1110,1100,1101,1010,2100,2100,2100
1101,0000,1110,2100,1111,1000,2101,2101,1001,1111,1101,1110,1101,1011,1010,2100,2100,2101
1110,0000,1111,2101,1111,1000,2110,2110,1001,1111,1101,1110,1110,1011,1010,2101,2110,2110
1111,0000,1111,2101,1111,1000,2111,2111,1001,1111,1101,1110,1111,1011,1010,2101,2110,2111
2000,0000,2100,0000,2100,2000,0000,0000,2001,2100,2100,2100,2100,2010,2010,0000,0000,0000
2001,0000,2100,0000,2101,2000,0000,0000,2001,2101,2100,2100,2101,2010,2010,0000,0000,0000
2010,0000,2101,0000,2110,2000,0000,0000,2001,2110,2100,2100,2110,2010,2010,0000,0000,0000
2011,0000,2101,0000,2111,2000,0000,0000,2001,2111,2101,2100,2111,2010,2010,0000,0000,0000
2100,0000,2110,0000,2110,2000,0000,0000,2001,2110,2101,2110,2100,2101,2010,0000,0000,0000
2101,0000,2110,0000,2111,2000,0000,0000,2001,2111,2101,2110,2101,2011,2010,0000,0000,0000
2110,0000,2111,0000,2111,2000,0000,0000,2001,2111,2101,2110,2110,2011,2010,0000,0000,0000
2111,0000,2111,2111,2111,2000,0000,0000,2001,2111,2101,2110,2111,2011,2010,0000,0000,0000
